,start_station_id,lat,lon,name,description
78,456,59.9103558,10.7051061,Frognerstranda,ved Kongen Marina
79,457,59.9230577,10.7717192,Trondheimsveien,ved trikkestoppet
80,458,59.928349,10.77837,Jenny Braatens Plass,langs Rosenhoffgata
81,459,59.9281319,10.71842,Valkyrieplassen,ved Bogstadveien
82,460,59.91541769802439,10.76933022142641,Botanisk Hage sør,langs Jens Bjelkes gate
83,461,59.908576,10.786856,Vålerenga,langs Ingeborgs gate
84,462,59.92714,10.730981,Stensparken,ved Sporveisgata
85,463,59.9207284,10.7594857,Schous plass trikkestopp,ved biblioteket
86,464,59.90580676630004,10.753656509579288,Sukkerbiten,ved gangbroen
87,465,59.909006,10.75618,Bjørvika,under broen Nylandsveien
88,466,59.937913,10.73048,Ullevålsalléen,langs Sognsveien
89,468,59.912793405455375,10.710103028570302,Skillebekk,langs Drammensveien
90,469,59.920852,10.733357,Studentparlamentet,ved Frydenlund holdeplass
91,470,59.92979845370007,10.743540765932096,St. Hanshaugen park nord,krysset Colletts gt / Geitmyrsveien
92,471,59.932432498521095,10.721762294477472,Marienlyst,ved bensinstasjon
93,472,59.9378,10.7541,Arendalsgata,over veien fra Sagen Kirke
94,473,59.926697,10.716195,Majorstuveien,langs Maries gate
95,474,59.940873733543725,10.720778851520524,Blindern studentparkering,rett ved Blindern Studenterhjem
96,475,59.9146509,10.7598719,Hausmanns bru,langs Nylandsveien
97,476,59.919111,10.736179,Edvard Storms gate,ved Pilestredet
98,477,59.91537003977052,10.748493387102522,Møllergata,rett over Youngstorget
99,478,59.911901,10.749929,Jernbanetorget,Europarådets plass
100,479,59.909467,10.722509,Tjuvholmen,ved Bryggegangen
101,480,59.9121109,10.7661939,Helga Helgesens plass,langs Grønlandsleiret
102,481,59.910924,10.736215,Rådhusgata,ved Kontraskjæret trikkestopp
103,482,59.952868,10.766483,Nydalen,langs Gjerdrums vei
104,483,59.915451,10.758328,Hausmanns gate,ved Røde Kors
105,484,59.92033,10.683814,Karenlyst allé,ved Skabos vei
106,485,59.911453,10.776072,Sommerfrydhagen,langs Jens Bjelkes gate
107,486,59.935342,10.726472,Det Teologiske fakultet,langs Blindernveien
